jk,goldar,teksturkulit,pekerjakeras,rinci,individualis,terorganisasi ,melakukansesuatusesuaikeinginan,kreatif,rasional,tenang,berpikirkritis,mudahbergaul,ambisitinggi,mandiri,perca1diri,semangattinggi,,,,,,,,,
jklaki,goldar-b,kulitnormal,1,1,1,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,
jklaki,goldar-o,kulitnormal,1,1,0,1,1,1,1,1,1,1,0,0,1,1,,,,,,,,,
jkperempuan,goldar-b,kulitnormal,1,1,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,
jkperempuan,goldar-o,kulitberminyak,1,1,1,0,1,0,0,0,1,0,1,1,0,1,,,,,,,,,
jkperempuan,goldar-b,kulitkombinasi,1,1,1,1,1,0,1,0,0,0,1,1,1,1,,,,,,,,,
jkperempuan,goldar-a,kulitberminyak,1,1,0,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,
jkperempuan,goldar-b,kulitnormal,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,,,
jkperempuan,goldar-ab,kulitnormal,1,1,0,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,
jkperempuan,goldar-a,kulitberminyak,0,0,0,0,1,0,0,1,0,1,0,1,1,0,,,,,,,,,
jkperempuan,goldar-b,kulitberminyak,1,1,1,1,1,1,1,0,1,0,1,1,0,0,,,,,,,,,
jkperempuan,goldar-a,kulitkombinasi,1,1,0,0,1,1,1,0,1,1,1,1,1,1,,,,,,,,,
jklaki,goldar-b,kulitkering,1,1,1,0,1,0,1,1,1,0,1,1,1,1,,,,,,,,,
jklaki,goldar-a,kulitnormal,0,1,0,1,1,1,1,1,0,0,1,0,0,1,,,,,,,,,
jklaki,goldar-b,kulitkering,0,1,1,1,1,0,1,0,1,0,0,0,0,1,,,,,,,,,
jkperempuan,goldar-ab,kulitnormal,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,
jklaki,goldar-o,kulitnormal,1,1,1,0,1,0,1,1,1,1,1,1,1,1,,,,,,,,,
jkperempuan,goldar-ab,kulitnormal,1,1,1,1,1,0,1,1,0,1,0,1,0,1,,,,,,,,,
jklaki,goldar-a,kulitnormal,1,1,1,1,1,0,1,1,1,1,0,1,1,1,,,,,,,,,
jkperempuan,goldar-a,kulitkering,1,0,1,0,1,0,1,0,0,0,1,1,1,1,,,,,,,,,
